,Unnamed: 0,country,itemId,paymentMethod,postalCode,sellingStatus,topRatedListing,AutoPay,AvailableForPickupDropOff,BestOfferEnabled,BidCount,BuyItNowPrice,FinalPrice,GlobalShipping,HandlingTime,HitCount,ListingStatus,ListingType,Location,MinimumToBid,ProductID,Quantity,QuantityThreshold,ReserveMet,ShipToLocations,Title,UserID,FeedbackScore,PositiveFeedbackPercent,SellerBusinessType,NewUser,nPhotos,nPaymentMethods,nShippingCountries,conditionId,bestOfferEnabled,buyItNowAvailable,expeditedShipping,shippingType,oneDayShippingAvailable,RatingsPresent,AverageRating,NegFeedback30Day,NegFeedback365Day,PosFeedback30Day,PosFeedback365Day,auctionLength,enoughKeyWords
10,10,1,272040654698,1,33487,1,False,False,0,False,7,,232.5,True,2.0,84.0,Completed,1,"Boca Raton, Florida",235.0,168534287.0,1,0.0,,"[US, CA, GB, DK, RO, SK, BG, CZ, FI, HU, LV, LT, MT, EE, AU, GR, PT, CY, SI, JP, CN, SE, KR, ID, TW, TH, BE, FR, HK, IE, NL, PL, ES, IT, DE, AT, RU, IL, MX, NZ, SG, CH, NO, AE, QA, KW, BH, HR]",Apple iPhone 5s - 32GB - Space Gray (AT&T) Smartphone,slipknot23gsr,66,83.3,2,False,3,1,48,4,False,False,True,2.0,False,False,,0,1,2,5,168.0,True
11,11,1,121804260489,1,33936,0,False,True,0,True,0,,305.0,True,2.0,22.0,Completed,0,"Lehigh Acres, Florida",,168553510.0,1,0.0,,"[US, CA, GB, DK, RO, SK, BG, CZ, FI, HU, LV, LT, MT, EE, AU, GR, PT, CY, SI, JP, CN, SE, KR, ID, TW, TH, BE, FR, HK, IE, NL, PL, ES, IT, DE, AT, RU, IL, MX, NZ, PH, SG, CH, NO, AE, QA, KW, BH, HR]",Apple iPhone 5s - 32GB - Silver (AT&T) Smartphone,ndel3618,286,100.0,1,False,6,1,49,4,True,False,True,2.0,False,False,,0,0,15,101,168.0,False
12,12,1,121811951150,1,33936,0,False,True,0,True,0,,298.0,True,2.0,94.0,Completed,0,"Lehigh Acres, Florida",,168553510.0,1,0.0,,"[US, CA, GB, DK, RO, SK, BG, CZ, FI, HU, LV, LT, MT, EE, AU, GR, PT, CY, SI, JP, CN, SE, KR, ID, TW, TH, BE, FR, HK, IE, NL, PL, ES, IT, DE, AT, RU, IL, MX, NZ, PH, SG, CH, NO, AE, QA, KW, BH, HR]",Apple iPhone 5s - 32GB - Silver (AT&T) Smartphone,ndel3618,286,100.0,1,False,6,1,49,4,True,False,True,2.0,False,False,,0,0,15,101,168.0,False
13,13,1,121818591773,1,33936,0,False,True,0,True,0,,285.0,True,2.0,47.0,Completed,0,"Lehigh Acres, Florida",,168553510.0,1,0.0,,"[US, CA, GB, DK, RO, SK, BG, CZ, FI, HU, LV, LT, MT, EE, AU, GR, PT, CY, SI, JP, CN, SE, KR, ID, TW, TH, BE, FR, HK, IE, NL, PL, ES, IT, DE, AT, RU, IL, MX, NZ, PH, SG, CH, NO, AE, QA, KW, BH, HR]",Apple iPhone 5s - 32GB - Silver (AT&T) Smartphone,ndel3618,286,100.0,1,False,6,1,49,4,True,False,True,2.0,False,False,,0,0,15,101,168.0,False
14,14,1,161882440685,1,11385,1,False,True,0,False,0,,210.0,True,2.0,0.0,Completed,0,"Ridgewood, New York",,,1,0.0,,"[US, CA, GB, AU, IE, MX, NZ, SG, AE]",iPhone 5s 32GB Space Gray ( Verizon),scarface769,261,100.0,1,False,6,1,9,4,False,False,True,0.0,False,False,,0,0,9,40,0.0,False
15,15,1,191731264745,1,19130,1,False,False,0,True,0,,274.99,False,2.0,191.0,Completed,0,"Philadelphia, Pennsylvania",,168556233.0,1,0.0,,US,Apple iPhone 5s - 32GB - Silver (Factory Unlocked) Smartphone All Accesories,jhurocstar,95,100.0,2,False,3,1,1,4,True,False,True,0.0,False,True,4.9425,0,0,12,40,118.0,False
16,16,1,191740087928,1,19130,1,False,False,0,False,6,,240.5,False,2.0,144.0,Completed,1,"Philadelphia, Pennsylvania",243.0,168494364.0,1,0.0,,US,Apple iPhone 5s - 32GB - Space Gray (Factory Unlocked) Smartphone,jhurocstar,95,100.0,2,False,8,1,1,4,False,False,True,2.0,False,True,4.9425,0,0,12,40,168.0,True
17,17,1,191746214682,1,19130,1,False,False,0,True,0,,245.0,False,2.0,586.0,Completed,0,"Philadelphia, Pennsylvania",,168494364.0,1,0.0,,US,Apple iPhone 5s - 32GB - Space Gray (Factory Unlocked) Smartphone,jhurocstar,95,100.0,2,False,8,1,1,4,True,False,True,2.0,False,True,4.9425,0,0,12,40,100.0,True
18,18,1,272031197458,1,85255,0,False,False,0,False,0,,272.0,False,1.0,26.0,Completed,1,"Scottsdale, Arizona",272.0,168553370.0,1,0.0,,US,iPhone 5s - 32GB - Black/Silver (Verizon) Smartphone IMMACULATE! BUY ME!!!,jockdoc01,1312,100.0,1,False,4,1,1,4,False,False,False,1.0,False,False,,0,0,10,86,240.0,False
19,19,1,272041990666,1,85255,1,False,False,0,False,5,,235.5,False,1.0,163.0,Completed,1,"Scottsdale, Arizona",238.0,168553370.0,1,0.0,,US,iPhone 5s - 32GB - Black/Silver (Verizon) Smartphone IMMACULATE! BUY ME!!!,jockdoc01,1312,100.0,1,False,4,1,1,4,False,False,False,1.0,False,False,,0,0,10,86,240.0,False
20,20,1,252152649732,1,02818,1,False,False,0,False,21,,280.0,False,2.0,240.0,Completed,1,"East Greenwich, Rhode Island",285.0,168464971.0,1,0.0,,US,Apple iPhone 5s - 32GB - Space Gray (Verizon) Smartphone - EXCELLENT Condition ,wbdoll5,15,100.0,2,False,7,1,1,4,False,False,True,2.0,False,False,,0,0,0,4,168.0,True
21,21,1,181917234855,1,23113,0,False,False,0,False,0,,65.0,False,2.0,161.0,Completed,1,"Midlothian, Virginia",65.0,168490045.0,1,0.0,,US,Apple iPhone 5s - 32GB - Silver (Sprint) Smartphone,sav288,50,100.0,1,False,3,1,1,0,False,False,True,0.0,False,False,,0,0,1,7,240.0,False
22,22,1,291605344476,1,07924,0,False,False,0,False,0,,321.0,False,3.0,13.0,Completed,1,"Bernardsville, New Jersey",321.0,,1,0.0,,Worldwide,"Apple iPhone 5S 32gb bundled w/battery case, gel case, screen protectors.",katine,347,100.0,2,False,11,1,1,4,False,False,False,2.0,False,True,4.8025,0,0,1,34,168.0,False
23,23,1,291612796987,1,07924,1,False,False,0,False,1,,299.0,False,3.0,52.0,Completed,1,"Bernardsville, New Jersey",304.0,,1,0.0,,Worldwide,"Apple iPhone 5S 32gb bundled w/battery case, gel case, screen protectors.",katine,347,100.0,2,False,11,1,1,4,False,False,False,2.0,False,True,4.8025,0,0,1,34,168.0,False
24,24,1,171986355219,1,92602,1,False,False,0,False,24,,270.0,False,2.0,187.0,Completed,1,"Irvine, California",275.0,168465001.0,1,0.0,,US,Apple iPhone 5s - 32GB - Space Gray (Sprint) w/bundle,knickfan168,126,100.0,2,False,5,1,1,4,False,False,True,0.0,False,False,,0,0,0,5,168.0,False
25,25,1,131644283511,1,02116,1,False,False,0,False,1,,303.0,False,3.0,41.0,Completed,1,"Boston, Massachusetts",308.0,170058066.0,1,0.0,,US,Apple iPhone 5s - 32GB - Gold (Factory Unlocked) Smartphone,nantucketstuff,19,100.0,1,False,5,1,1,4,False,False,True,2.0,False,False,,0,0,1,2,124.0,False
26,26,1,121806096006,1,02115,1,False,False,0,False,31,,285.0,False,2.0,308.0,Completed,1,"Boston, Massachusetts",290.0,170058066.0,1,0.0,,US,Apple iPhone 5s - 32GB - Gold (Factory Unlocked) Smartphone,chai8323,131,100.0,1,False,8,1,1,4,False,False,True,2.0,False,False,,0,0,2,23,120.0,False
27,27,1,171991984044,1,35203,1,False,False,0,False,3,,300.0,False,2.0,69.0,Completed,1,"Birmingham, Alabama",305.0,168464971.0,1,0.0,,US,Apple iPhone 5s - 32GB - Space Gray (Verizon) Smartphone,jachenhen,0,0.0,1,False,3,1,1,9,False,False,True,2.0,False,False,,0,0,0,0,27.0,True
28,28,1,401023790569,1,32826,1,False,True,0,False,0,,325.0,True,1.0,47.0,Completed,0,"Orlando, Florida",,168464971.0,1,0.0,,"[US, CA, GB, DK, RO, SK, BG, CZ, FI, HU, LV, LT, MT, EE, AU, GR, PT, CY, SI, JP, CN, SE, KR, ID, TW, TH, BE, FR, HK, IE, NL, PL, ES, IT, DE, AT, RU, IL, MX, NZ, PH, SG, CH, NO, AE, QA, KW, BH, HR, BR, CR]",Apple iPhone 5S 32GB Black - Verizon Unlocked AT&T T-Mobile 6296143,thegizmotrader,51531,99.4,0,False,6,1,51,8,False,False,True,3.0,True,True,4.9575,0,30,304,4811,35.0,False
29,29,1,371481174821,1,32826,0,False,True,0,False,0,,277.0,True,1.0,45.0,Completed,0,"Orlando, Florida",,168464971.0,1,0.0,,"[US, CA, GB, DK, RO, SK, BG, CZ, FI, HU, LV, LT, MT, EE, AU, GR, PT, CY, SI, JP, CN, SE, KR, ID, TW, TH, BE, FR, HK, IE, NL, PL, ES, IT, DE, AT, RU, IL, MX, NZ, PH, SG, CH, NO, AE, QA, KW, BH, HR, UA, MY]",Apple iPhone 5S 32GB Black - Verizon Unlocked AT&T T-Mobile 6252942,thegizmotrader,51531,99.4,0,False,6,1,51,4,False,False,True,3.0,True,True,4.9575,0,30,304,4811,72.0,False
30,30,1,401023103267,1,32826,0,False,True,0,False,0,,321.0,True,1.0,88.0,Completed,0,"Orlando, Florida",,168465001.0,1,0.0,,"[US, CA, GB, DK, RO, SK, BG, CZ, FI, HU, LV, LT, MT, EE, AU, GR, PT, CY, SI, JP, CN, SE, KR, ID, TW, TH, BE, FR, HK, IE, NL, PL, ES, IT, DE, AT, RU, IL, MX, NZ, PH, SG, CH, NO, AE, QA, KW, BH, HR, BR, CR]",Apple iPhone 5S 32GB Black - Sprint  Smartphone w/Warranty 6245881,thegizmotrader,51531,99.4,0,False,6,1,51,8,False,False,True,3.0,True,True,4.9575,0,30,304,4811,72.0,False
31,31,1,401023103221,1,32826,0,False,True,0,False,0,,326.0,True,1.0,91.0,Completed,0,"Orlando, Florida",,168534287.0,1,0.0,,"[US, CA, GB, DK, RO, SK, BG, CZ, FI, HU, LV, LT, MT, EE, AU, GR, PT, CY, SI, JP, CN, SE, KR, ID, TW, TH, BE, FR, HK, IE, NL, PL, ES, IT, DE, AT, RU, IL, MX, NZ, PH, SG, CH, NO, AE, QA, KW, BH, HR, BR, CR]",Apple iPhone 5S 32GB Black - AT&T T-Mobile Unlocked GSM 6084803,thegizmotrader,51531,99.4,0,False,6,1,51,8,False,False,True,3.0,True,True,4.9575,0,30,304,4811,72.0,False
32,32,1,401023575735,1,32826,1,False,True,0,False,0,,281.0,True,1.0,23.0,Completed,0,"Orlando, Florida",,170054882.0,1,0.0,,"[US, CA, GB, DK, RO, SK, BG, CZ, FI, HU, LV, LT, MT, EE, AU, GR, PT, CY, SI, JP, CN, SE, KR, ID, TW, TH, BE, FR, HK, IE, NL, PL, ES, IT, DE, AT, RU, IL, MX, NZ, PH, SG, CH, NO, AE, QA, KW, BH, HR]",Apple iPhone 5S 32GB Gold - AT&T T-Mobile Unlocked GSM 6331309,thegizmotrader,51531,99.4,0,False,6,1,49,4,False,False,True,3.0,True,True,4.9575,0,30,304,4811,47.0,False
33,33,1,401023576602,1,32826,1,False,True,0,False,0,,281.0,True,1.0,30.0,Completed,0,"Orlando, Florida",,170054882.0,1,0.0,,"[US, CA, GB, DK, RO, SK, BG, CZ, FI, HU, LV, LT, MT, EE, AU, GR, PT, CY, SI, JP, CN, SE, KR, ID, TW, TH, BE, FR, HK, IE, NL, PL, ES, IT, DE, AT, RU, IL, MX, NZ, PH, SG, CH, NO, AE, QA, KW, BH, HR]",Apple iPhone 5S 32GB Gold - AT&T T-Mobile Unlocked GSM 6331336,thegizmotrader,51531,99.4,0,False,6,1,49,4,False,False,True,3.0,True,True,4.9575,0,30,304,4811,47.0,False
34,34,1,371481756910,1,32826,0,False,True,0,False,0,,269.0,True,1.0,5.0,Completed,0,"Orlando, Florida",,168553510.0,1,0.0,,"[US, CA, GB, DK, RO, SK, BG, CZ, FI, HU, LV, LT, MT, EE, AU, GR, PT, CY, SI, JP, CN, SE, KR, ID, TW, TH, BE, FR, HK, IE, NL, PL, ES, IT, DE, AT, RU, IL, MX, NZ, PH, SG, CH, NO, AE, QA, KW, BH, HR]",Apple iPhone 5S 32GB White - AT&T T-Mobile Unlocked GSM 6331354,thegizmotrader,51531,99.4,0,False,6,1,49,4,False,False,True,3.0,True,True,4.9575,0,30,304,4811,64.0,False
35,35,1,371481381108,1,32826,0,False,True,0,False,0,,277.0,True,1.0,18.0,Completed,0,"Orlando, Florida",,168464971.0,1,0.0,,"[US, CA, GB, DK, RO, SK, BG, CZ, FI, HU, LV, LT, MT, EE, AU, GR, PT, CY, SI, JP, CN, SE, KR, ID, TW, TH, BE, FR, HK, IE, NL, PL, ES, IT, DE, AT, RU, IL, MX, NZ, PH, SG, CH, NO, AE, QA, KW, BH, HR, UA, MY]",Apple iPhone 5S 32GB Black - Verizon Unlocked AT&T T-Mobile 6281719,thegizmotrader,51531,99.4,0,False,6,1,51,4,False,False,True,3.0,True,True,4.9575,0,30,304,4811,72.0,False
36,36,1,371481379326,1,32826,0,False,True,0,False,0,,277.0,True,1.0,24.0,Completed,0,"Orlando, Florida",,168464971.0,1,0.0,,"[US, CA, GB, DK, RO, SK, BG, CZ, FI, HU, LV, LT, MT, EE, AU, GR, PT, CY, SI, JP, CN, SE, KR, ID, TW, TH, BE, FR, HK, IE, NL, PL, ES, IT, DE, AT, RU, IL, MX, NZ, PH, SG, CH, NO, AE, QA, KW, BH, HR]",Apple iPhone 5S 32GB Black - Verizon T-Mobile AT&T GSM Unlocked 6162166,thegizmotrader,51531,99.4,0,False,6,1,49,4,False,False,True,3.0,True,True,4.9575,0,30,304,4811,72.0,False
37,37,1,401024251215,1,32826,1,False,True,0,False,0,,281.0,True,1.0,24.0,Completed,0,"Orlando, Florida",,168534287.0,1,0.0,,"[US, CA, GB, DK, RO, SK, BG, CZ, FI, HU, LV, LT, MT, EE, AU, GR, PT, CY, SI, JP, CN, SE, KR, ID, TW, TH, BE, FR, HK, IE, NL, PL, ES, IT, DE, AT, RU, IL, MX, NZ, PH, SG, CH, NO, AE, QA, KW, BH, HR]",Apple iPhone 5S 32GB Black - AT&T T-Mobile Unlocked GSM 6331296,thegizmotrader,51531,99.4,0,False,6,1,49,4,False,False,True,3.0,True,True,4.9575,0,30,304,4811,12.0,False
38,38,1,291610575514,1,32826,1,False,True,0,False,0,,269.0,True,1.0,8.0,Completed,0,"Orlando, Florida",,168553510.0,1,0.0,,"[US, CA, GB, DK, RO, SK, BG, CZ, FI, HU, LV, LT, MT, EE, AU, GR, PT, CY, SI, JP, CN, SE, KR, ID, TW, TH, BE, FR, HK, IE, NL, PL, ES, IT, DE, AT, RU, IL, MX, NZ, PH, SG, CH, NO, AE, QA, KW, BH, HR, UA, MY]",Apple iPhone 5S 32GB White - AT&T T-Mobile Unlocked GSM 6331356,thegizmotrader,51531,99.4,0,False,6,1,51,4,False,False,True,3.0,True,True,4.9575,0,30,304,4811,67.0,False
39,39,1,401023575916,1,32826,0,False,True,0,False,0,,278.0,True,1.0,15.0,Completed,0,"Orlando, Florida",,170054882.0,1,0.0,,"[US, CA, GB, DK, RO, SK, BG, CZ, FI, HU, LV, LT, MT, EE, AU, GR, PT, CY, SI, JP, CN, SE, KR, ID, TW, TH, BE, FR, HK, IE, NL, PL, ES, IT, DE, AT, RU, IL, MX, NZ, PH, SG, CH, NO, AE, QA, KW, BH, HR]",Apple iPhone 5S 32GB Gold - AT&T T-Mobile Unlocked GSM 6331313,thegizmotrader,51531,99.4,0,False,6,1,49,4,False,False,True,3.0,True,True,4.9575,0,30,304,4811,64.0,False
40,40,1,291612471652,1,32826,0,False,True,0,False,0,,274.0,True,1.0,8.0,Completed,0,"Orlando, Florida",,168464971.0,1,0.0,,"[US, CA, GB, DK, RO, SK, BG, CZ, FI, HU, LV, LT, MT, EE, AU, GR, PT, CY, SI, JP, CN, SE, KR, ID, TW, TH, BE, FR, HK, IE, NL, PL, ES, IT, DE, AT, RU, IL, MX, NZ, PH, SG, CH, NO, AE, QA, KW, BH, HR]",Apple iPhone 5S 32GB Black - Verizon T-Mobile AT&T GSM Unlocked 6162166,thegizmotrader,51531,99.4,0,False,6,1,49,4,False,False,True,3.0,True,True,4.9575,0,30,304,4811,13.0,False
41,41,1,401023577857,1,32826,0,False,True,0,False,0,,275.0,True,1.0,19.0,Completed,0,"Orlando, Florida",,168490045.0,1,0.0,,"[US, CA, GB, DK, RO, SK, BG, CZ, FI, HU, LV, LT, MT, EE, AU, GR, PT, CY, SI, JP, CN, SE, KR, ID, TW, TH, BE, FR, HK, IE, NL, PL, ES, IT, DE, AT, RU, IL, MX, NZ, PH, SG, CH, NO, AE, QA, KW, BH, HR]",Apple iPhone 5S 32GB White - Sprint  Smartphone w/Warranty 6331370,thegizmotrader,51531,99.4,0,False,6,1,49,4,False,False,True,3.0,True,True,4.9575,0,30,304,4811,72.0,False
42,42,1,371481760584,1,32826,0,False,True,0,False,0,,269.0,True,1.0,8.0,Completed,0,"Orlando, Florida",,168553510.0,1,0.0,,"[US, CA, GB, DK, RO, SK, BG, CZ, FI, HU, LV, LT, MT, EE, AU, GR, PT, CY, SI, JP, CN, SE, KR, ID, TW, TH, BE, FR, HK, IE, NL, PL, ES, IT, DE, AT, RU, IL, MX, NZ, PH, SG, CH, NO, AE, QA, KW, BH, HR]",Apple iPhone 5S 32GB White - AT&T T-Mobile Unlocked GSM 6331369,thegizmotrader,51531,99.4,0,False,6,1,49,4,False,False,True,3.0,True,True,4.9575,0,30,304,4811,72.0,False
43,43,1,371481760482,1,32826,0,False,True,0,False,0,,269.0,True,1.0,7.0,Completed,0,"Orlando, Florida",,168553510.0,1,0.0,,"[US, CA, GB, DK, RO, SK, BG, CZ, FI, HU, LV, LT, MT, EE, AU, GR, PT, CY, SI, JP, CN, SE, KR, ID, TW, TH, BE, FR, HK, IE, NL, PL, ES, IT, DE, AT, RU, IL, MX, NZ, PH, SG, CH, NO, AE, QA, KW, BH, HR]",Apple iPhone 5S 32GB White - AT&T T-Mobile Unlocked GSM 6331367,thegizmotrader,51531,99.4,0,False,6,1,49,4,False,False,True,3.0,True,True,4.9575,0,30,304,4811,72.0,False
44,44,1,371481760405,1,32826,0,False,True,0,False,0,,269.0,True,1.0,23.0,Completed,0,"Orlando, Florida",,168553510.0,1,0.0,,"[US, CA, GB, DK, RO, SK, BG, CZ, FI, HU, LV, LT, MT, EE, AU, GR, PT, CY, SI, JP, CN, SE, KR, ID, TW, TH, BE, FR, HK, IE, NL, PL, ES, IT, DE, AT, RU, IL, MX, NZ, PH, SG, CH, NO, AE, QA, KW, BH, HR]",Apple iPhone 5S 32GB White - AT&T T-Mobile Unlocked GSM 6331364,thegizmotrader,51531,99.4,0,False,6,1,49,4,False,False,True,3.0,True,True,4.9575,0,30,304,4811,72.0,False
45,45,1,291610581771,1,32826,0,False,True,0,False,0,,269.0,True,1.0,7.0,Completed,0,"Orlando, Florida",,168553510.0,1,0.0,,"[US, CA, GB, DK, RO, SK, BG, CZ, FI, HU, LV, LT, MT, EE, AU, GR, PT, CY, SI, JP, CN, SE, KR, ID, TW, TH, BE, FR, HK, IE, NL, PL, ES, IT, DE, AT, RU, IL, MX, NZ, PH, SG, CH, NO, AE, QA, KW, BH, HR]",Apple iPhone 5S 32GB White - AT&T T-Mobile Unlocked GSM 6331352,thegizmotrader,51531,99.4,0,False,6,1,49,4,False,False,True,3.0,True,True,4.9575,0,30,304,4811,72.0,False
46,46,1,291610581517,1,32826,0,False,True,0,False,0,,255.0,True,1.0,59.0,Completed,0,"Orlando, Florida",,168534287.0,1,0.0,,"[US, CA, GB, DK, RO, SK, BG, CZ, FI, HU, LV, LT, MT, EE, AU, GR, PT, CY, SI, JP, CN, SE, KR, ID, TW, TH, BE, FR, HK, IE, NL, PL, ES, IT, DE, AT, RU, IL, MX, NZ, PH, SG, CH, NO, AE, QA, KW, BH, HR]",Apple iPhone 5S 32GB Black - AT&T  Smartphone w/Warranty 6331342,thegizmotrader,51531,99.4,0,False,6,1,49,4,False,False,True,3.0,True,True,4.9575,0,30,304,4811,72.0,False
47,47,1,401023577321,1,32826,0,False,True,0,False,0,,255.0,True,1.0,32.0,Completed,0,"Orlando, Florida",,168553510.0,1,0.0,,"[US, CA, GB, DK, RO, SK, BG, CZ, FI, HU, LV, LT, MT, EE, AU, GR, PT, CY, SI, JP, CN, SE, KR, ID, TW, TH, BE, FR, HK, IE, NL, PL, ES, IT, DE, AT, RU, IL, MX, NZ, PH, SG, CH, NO, AE, QA, KW, BH, HR]",Apple iPhone 5S 32GB White - AT&T  Smartphone w/Warranty 6331362,thegizmotrader,51531,99.4,0,False,6,1,49,4,False,False,True,3.0,True,True,4.9575,0,30,304,4811,72.0,False
48,48,1,371481760005,1,32826,0,False,True,0,False,0,,278.0,True,1.0,6.0,Completed,0,"Orlando, Florida",,168553510.0,1,0.0,,"[US, CA, GB, DK, RO, SK, BG, CZ, FI, HU, LV, LT, MT, EE, AU, GR, PT, CY, SI, JP, CN, SE, KR, ID, TW, TH, BE, FR, HK, IE, NL, PL, ES, IT, DE, AT, RU, IL, MX, NZ, PH, SG, CH, NO, AE, QA, KW, BH, HR]",Apple iPhone 5S 32GB White - AT&T T-Mobile Unlocked GSM 6331368,thegizmotrader,51531,99.4,0,False,6,1,49,4,False,False,True,3.0,True,True,4.9575,0,30,304,4811,72.0,False
49,49,1,291610581086,1,32826,0,False,True,0,False,0,,278.0,True,1.0,10.0,Completed,0,"Orlando, Florida",,168553510.0,1,0.0,,"[US, CA, GB, DK, RO, SK, BG, CZ, FI, HU, LV, LT, MT, EE, AU, GR, PT, CY, SI, JP, CN, SE, KR, ID, TW, TH, BE, FR, HK, IE, NL, PL, ES, IT, DE, AT, RU, IL, MX, NZ, PH, SG, CH, NO, AE, QA, KW, BH, HR]",Apple iPhone 5S 32GB White - AT&T T-Mobile Unlocked GSM 6331366,thegizmotrader,51531,99.4,0,False,6,1,49,4,False,False,True,3.0,True,True,4.9575,0,30,304,4811,72.0,False
50,50,1,371481759781,1,32826,0,False,True,0,False,0,,278.0,True,1.0,8.0,Completed,0,"Orlando, Florida",,168553510.0,1,0.0,,"[US, CA, GB, DK, RO, SK, BG, CZ, FI, HU, LV, LT, MT, EE, AU, GR, PT, CY, SI, JP, CN, SE, KR, ID, TW, TH, BE, FR, HK, IE, NL, PL, ES, IT, DE, AT, RU, IL, MX, NZ, PH, SG, CH, NO, AE, QA, KW, BH, HR]",Apple iPhone 5S 32GB WHITE - AT&T T-Mobile Unlocked GSM 6331361,thegizmotrader,51531,99.4,0,False,6,1,49,4,False,False,True,3.0,True,True,4.9575,0,30,304,4811,72.0,False
